!!NAME	NICK NAME
CYNTHIA	CINDY
CYNTHIA	SINA
CYRUS	CY
DAISY	MARGARET
DANIEL	DAN
DANIEL	DANNY
DANIEL	DANK
DANIELLE	DANI
DANIELLE	ELLIE
DAPHNE	DAPH
DAPHNE	DAPHIE
DAVID	DAVY
DEANNE	ANN
DEANNE	DEE
DEBORAH	DEB
DEBORAH	DEBI
DEBORAH	DEBBIE
DEBORAH	DEBBY
DELBERT	BERT
DELBERT	DEL
DEIDRE	DEEDEE
DELIA	CORDELIA
DELIA	FIDELIA
DELILAH	DELL
DELILAH	DELLA
DELILAH	LIL
DELILAH	LILA
DELL	ADELA
DELL	ADELAIDE
DELL	DELILAH
DELLA	ADELA
DELLA	ADELAIDE
DELLA	DELILAH
DELORES	DEE
DELORES	DODIE
DELORES	DODIE
DELORES	LOLA
DELPHA	PHILADELPHIA
DELPHINE	DEL
DELPHINE	DELF
DELPHINE	DELPHI
DEMARIS	DEA
DEMARIS	MARIS
DEMARIS	MARY
DEMERIAS	DEA
DEMERIAS	MARIS
DEMERIAS	MARY
DEMOCRATES	MOCK
DENISE	DENNIS
DEUTERONOMY	DUTY
DIANE	DI
DIANE	DICEY
DIANE	DIDI
DIANA	DI
DIANA	DICEY
DIANA	DIDI
DICKSON	DICK
DOMINIC	DOM
DOMINIC	NICK
DOMINIC	NICKY
DORINDA	DORA
DORINDA	DOROTHEA
DORIS	DORA
DOROTHEA	DODA
DOROTHEA	DORA
DOROTHY	DEE
DOROTHY	DOLLY
DOROTHY	DOROTHEA
DOROTHY	DOT
DOROTHY	DOTHA
DOROTHY	DOTTY
DOUGLAS	DOUG
DRUSILLA	SILLA
DUNCAN	DUNK
EBENEZER	EB
EBENEZER	EBEN
EDITH	DICEY
EDITH	EDIE
EDMUND	ED
EDMUND	NED
EDMUND	TED
EDNA	EDNY
EDWARD	ED
EDWARD	NED
EDWARD	TED
EDWINA	EDWIN
EGBERT	BERT
EGBERT	BURT
EIGHTA	ATHY
EILEEN	HELEN
ELAINE	HELEN
ELAINE	LAINIE
ELBERT	ALBERT
